Word,E,P,A
INSPIRED,6.89,5.56,7.3
INSTABILITY,2.75,4.89,3.27
INSTALL,5.95,3.72,6.68
INSTALLATION,5.06,3.42,5.75
INSTALLMENT,4.42,4.43,5.54
INSTANT,5.84,4.33,6.22
INSTANTANEOUS,5.16,4.72,5.96
INSTINCT,5.67,4.44,6.26
INSTINCTIVE,5.81,4.04,5.88
INSTITUTE,4.95,3.5,5.11
INSTITUTION,4.0,4.09,4.74
INSTRUCT,5.81,4.25,6.23
INSTRUCTION,5.22,2.62,5.65
INSTRUCTIVE,6.26,4.05,5.96
INSTRUCTOR,6.15,5.05,5.81
INSTRUMENT,6.68,3.88,6.35
INSTRUMENTAL,6.76,3.92,6.68
INSUBORDINATION,3.47,6.29,4.04
INSUFFERABLE,3.85,3.65,3.38
INSUFFICIENT,3.24,3.57,3.38
INSULATION,5.37,3.71,5.56
INSULIN,4.52,4.92,3.81
INSULT,2.62,5.3,3.96
INSULTING,1.89,4.7,4.48
INSURANCE,3.76,3.8,5.84
INSURE,5.67,3.76,5.72
INTACT,6.0,3.18,7.3
INTAKE,5.53,4.0,6.35
INTANGIBLE,5.7,3.19,4.28
INTEGRAL,5.19,3.65,6.11
INTEGRATE,5.78,3.37,5.08
INTEGRATION,5.29,4.38,5.88
INTEGRITY,6.11,3.36,6.96
INTELLECT,6.62,4.41,6.69
INTELLECTUAL,7.65,4.53,6.56
INTELLIGENCE,7.65,6.32,6.72
INTELLIGENT,7.6,5.67,6.77
INTEND,5.75,3.39,6.18
INTENSE,5.65,6.6,5.57
INTENSITY,5.19,7.05,5.34
INTENSIVE,4.25,4.38,5.9
INTENT,5.86,4.32,6.25
INTENTION,5.58,3.91,6.81
INTENTIONAL,5.37,3.89,6.0
INTERACT,6.0,3.78,5.46
INTERACTION,5.62,4.35,5.06
INTERACTIVE,5.89,4.28,5.29
INTERCEDE,5.24,4.04,5.38
INTERCEPT,4.64,4.59,5.1
INTERCEPTION,5.41,4.23,4.5
INTERCHANGEABLE,5.37,3.77,5.75
INTERCOM,5.26,2.86,5.52
INTERCOURSE,7.22,6.5,6.0
INTEREST,6.66,4.36,6.31
INTERESTED,6.83,4.45,6.83
INTERESTING,6.78,5.1,6.83
INTERFACE,5.32,3.35,6.15
INTERFERE,3.94,4.33,4.71
INTERFERENCE,4.71,3.84,4.11
INTERGALACTIC,6.32,5.91,4.37
INTERIM,4.68,3.68,5.4
INTERIOR,5.79,3.86,5.54
INTERJECT,4.29,3.52,5.18
INTERLUDE,5.47,3.96,4.79
INTERMEDIATE,5.05,3.28,4.94
INTERMISSION,5.2,5.0,5.38
INTERMITTENT,4.65,3.6,4.77
INTERN,5.14,3.62,5.55
INTERNAL,5.18,3.67,6.25
INTERNATIONAL,5.65,3.95,5.33
INTERNET,6.68,5.44,6.24
INTERNSHIP,5.9,6.25,5.11
INTEROFFICE,4.32,3.67,4.59
INTERPRET,5.2,4.43,5.24
INTERPRETATION,5.6,4.21,5.43
INTERPRETER,5.8,3.14,5.74
INTERPRETIVE,5.16,2.9,6.3
INTERROGATE,2.76,4.8,4.64
INTERROGATION,2.21,5.41,2.92
INTERRUPT,3.26,4.36,3.93
INTERRUPTION,3.81,3.88,4.25
INTERSECTION,4.58,4.45,4.42
INTERSTATE,5.0,4.38,4.91
INTERSTELLAR,5.95,4.95,5.33
INTERVAL,5.05,3.43,5.7
INTERVENE,5.21,4.48,5.82
INTERVENTION,4.14,4.74,4.57
INTERVIEW,4.68,6.35,6.84
INTERVIEWER,5.0,4.52,4.75
INTESTINAL,3.3,3.82,4.47
INTESTINE,3.37,4.5,4.21
INTIMACY,7.0,6.0,6.59
INTIMATE,7.22,6.02,6.29
INTIMIDATE,2.84,5.27,5.75
INTIMIDATING,3.0,4.33,4.0
INTIMIDATION,3.79,4.67,3.25
INTOLERABLE,3.14,5.41,4.15
INTOLERANCE,2.95,5.35,3.87
INTOLERANT,3.43,4.05,4.74
INTOXICATING,5.58,5.81,2.82
INTRACRANIAL,4.62,4.45,4.57
INTRAVENOUS,4.29,4.09,4.59
INTREPID,5.37,3.95,5.5
INTRICATE,5.11,4.48,5.13
INTRIGUE,6.05,5.18,6.21
INTRIGUING,6.53,5.44,5.53
INTRO,5.15,4.48,5.84
INTRODUCE,5.91,4.55,6.84
INTRODUCTION,5.81,3.9,5.36
INTRUDE,3.1,5.2,3.92
INTRUDER,2.46,5.66,3.18
INTRUSION,3.37,4.9,2.75
INTRUSIVE,3.05,5.77,4.47
INTUBATION,4.1,4.04,4.32
INTUITION,6.42,4.81,5.84
INTUITIVE,6.0,4.28,6.29
INVADE,3.32,6.0,4.31
INVADER,2.23,5.67,3.5
INVALID,3.52,3.7,5.1
INVALUABLE,5.6,5.21,5.14
INVASION,2.45,6.59,3.0
INVASIVE,3.1,6.28,3.23
INVENT,6.64,6.16,6.9
INVENTION,6.4,4.24,6.67
INVENTIVE,6.29,4.22,6.39
INVENTOR,6.21,4.62,5.15
INVENTORY,4.95,3.58,5.48
INVERTED,4.91,3.85,5.58
INVEST,6.16,3.95,5.94
INVESTIGATE,5.68,4.09,5.43
INVESTIGATION,4.36,5.7,6.11
INVESTIGATIVE,5.5,5.8,5.69
INVESTIGATOR,4.95,4.35,4.79
INVESTMENT,5.14,4.73,5.19
INVESTOR,5.42,3.39,5.76
INVINCIBLE,6.32,5.3,6.6
INVISIBILITY,5.32,4.32,5.1
INVISIBLE,5.0,3.95,4.27
INVITATION,7.05,4.94,6.43
INVITE,5.68,5.1,6.95
INVOICE,4.6,3.68,5.7
INVOKE,5.05,4.85,5.54
INVOLUNTARY,4.05,3.75,4.13
INVOLVE,5.44,3.6,5.28
INVOLVEMENT,5.81,2.95,6.41
INVULNERABLE,6.05,3.85,5.36
IODINE,4.9,4.21,4.86
ION,5.1,4.19,5.16
IOTA,5.16,2.76,4.55
IRATE,2.9,4.71,3.6
IRIS,6.85,4.2,6.24
IRON,5.03,3.24,5.51
IRONCLAD,5.14,3.77,6.09
IRONIC,5.42,4.39,4.46
IRONY,5.19,4.09,5.28
IRRATIONAL,3.5,5.12,3.46
IRREGULAR,4.05,4.86,4.93
IRREGULARITY,4.26,3.94,3.44
IRRELEVANT,3.35,3.71,4.68
IRREPARABLE,4.05,5.05,3.5
IRREPLACEABLE,5.59,4.62,3.95
IRRESISTIBLE,6.58,5.71,4.68
IRRESPONSIBLE,2.5,5.0,3.91
IRREVERSIBLE,3.61,4.09,3.11
IRRIGATE,5.23,3.77,5.6
IRRIGATION,3.82,4.65,6.05
IRRITABLE,2.85,6.37,4.23
IRRITATE,3.19,5.85,4.39
IRRITATING,2.63,4.91,3.77
IRRITATION,3.38,5.5,4.35
ISLAND,7.18,4.25,5.58
ISLE,6.05,3.24,4.7
ISOLATE,4.35,4.6,4.38
ISOLATION,3.77,3.0,4.52
ISOTOPE,5.35,2.73,5.19
ISSUE,3.95,4.55,5.47
ITCH,3.11,5.0,3.86
ITCHY,2.53,4.9,3.0
ITEM,5.29,2.9,5.5
ITINERARY,6.1,3.27,5.32
IVORY,5.2,2.33,5.17
JAB,3.81,4.85,5.42
JABBER,4.38,3.78,4.95
JACK_DANIELS,5.38,4.78,5.59
JACKAL,4.65,4.58,4.57
JACKASS,4.05,6.57,4.59
JACKET,5.86,3.35,6.89
JACKHAMMER,3.9,4.7,4.76
JACKPOT,7.1,5.62,4.35
JACKRABBIT,5.95,3.61,4.36
JADE,6.25,3.43,5.37
JADED,3.62,3.79,5.65
JAGGED,3.95,6.05,4.48
JAGUAR,5.63,5.55,5.1
JAIL,1.91,4.47,3.91
JAILBIRD,2.38,4.48,3.18
JAILBREAK,3.5,5.6,5.27
JAILER,2.61,4.95,3.79
JAILHOUSE,2.57,4.5,2.89
JALOPY,5.15,3.94,4.12
JAM,5.81,3.95,5.89
JAMBOREE,6.14,5.28,5.5
JAMMER,5.19,4.22,5.1
JANITOR,4.86,2.3,5.36
JANITORIAL,4.87,3.86,5.35
JAR,5.71,2.77,5.26
JARGON,4.85,3.95,5.25
JARHEAD,4.16,4.41,4.14
JASMINE,6.74,3.7,5.75
JAVA,5.9,5.05,6.16
JAVELIN,5.24,3.89,5.71
JAW,4.41,4.09,5.84
JAWBONE,4.63,4.19,5.65
JAWS,4.42,5.91,4.68
JAZZ,6.57,6.05,6.42
JAZZY,6.81,4.74,5.42
JEALOUS,2.38,5.9,4.68
JEALOUSY,2.58,5.45,3.89
JEAN,6.05,2.41,5.19
JEANS,5.47,3.95,6.26
JEEP,5.53,4.05,5.0
JEERING,2.52,5.57,4.32
JELLY,5.9,3.63,5.68
JELLYBEAN,6.4,4.77,6.14
JELLYFISH,4.9,3.73,4.0
JEOPARDIZE,3.1,6.15,3.65
JEOPARDY,3.84,4.23,4.32
JERK,2.43,6.45,4.84
JERKY,4.74,4.0,4.21
JEST,6.2,4.21,5.64
JESTER,4.53,4.75,5.35
JET,6.74,5.26,5.44
JEWEL,6.68,3.83,5.1
JEWELER,5.95,3.73,5.73
JEWELRY,7.0,3.38,6.19
JIB,5.53,4.57,4.83
JIFF,5.21,4.17,4.68
JIFFY,6.09,4.89,6.05
JIG,4.95,4.95,5.33
JIGGLE,6.15,5.22,4.88
JIGSAW,5.05,4.0,6.57
JIHAD,2.32,5.35,3.08
JINGLE,5.16,4.33,5.81
JINX,3.59,4.95,4.16
JITTERY,3.35,4.89,3.5
JIVE,6.32,5.68,5.29
JOB,5.64,4.0,4.44
JOCKEY,4.95,4.84,5.62
JOCKSTRAP,3.5,4.33,4.58
JOG,5.81,3.43,6.35
JOGGER,5.11,3.5,5.94
JOIN,5.83,3.9,4.94
JOINT,5.32,4.5,6.16
JOKE,7.88,5.73,5.79
JOKER,5.67,4.21,5.05
JOLLY,7.47,5.95,7.4
JOLT,4.43,6.63,4.76
JOT,4.79,4.0,5.77
JOUR,5.74,2.95,5.45
JOURNAL,5.91,3.23,6.31
JOURNALISM,4.95,4.22,5.67
JOURNALIST,5.3,3.86,6.15
JOURNALISTIC,5.55,3.2,6.45
JOURNEY,6.65,4.89,6.77
JOUST,4.9,5.61,5.11
JOY,8.21,5.55,7.0
JOYFUL,8.21,5.53,7.05
JOYOUS,7.45,6.62,6.25
JOYRIDE,6.1,3.71,5.93
JUBILEE,7.05,5.2,6.35
JUDGE,3.89,4.5,3.78
JUDGMENT,4.65,4.27,5.54
JUDGMENTAL,3.0,5.05,3.79
JUDICIAL,4.0,4.59,4.9
JUDO,5.79,4.5,6.17
JUG,5.45,3.73,5.45
JUGGLE,5.84,5.14,4.7
JUGGLER,6.3,4.05,5.23
JUGULAR,5.2,4.56,4.84
JUICE,6.9,4.6,5.74
JUICER,5.84,4.44,5.35
JUICY,7.05,4.7,5.48
JUJU,4.73,4.12,5.21
JUKE,5.0,3.3,4.92
JUKEBOX,6.76,4.9,5.67
JUMBO,4.9,4.24,4.92
JUMP,6.44,5.14,5.72
JUMP_ROPE,5.74,4.7,5.54
JUMPER,4.55,3.76,5.0
JUMPSUIT,5.1,3.62,5.7
JUMPY,4.8,5.45,4.47
JUNCTION,5.21,3.86,6.36
JUNCTURE,5.25,4.08,5.79
JUNGLE,5.7,4.06,4.5
JUNIOR,5.36,4.15,6.26
JUNIPER,6.33,3.27,5.3
JUNK,3.57,3.95,4.86
JUNKET,4.22,3.5,5.35
JUNKIE,2.5,4.62,3.82
JUNKY,3.05,4.3,4.86
JUNKYARD,4.05,3.95,4.82
JURISDICTION,4.68,3.95,4.33
JUROR,4.65,4.5,5.08
JURY,4.23,5.2,5.21
JUSTICE,6.8,5.4,6.31
JUSTIFIABLE,6.1,3.58,5.84
JUSTIFICATION,5.68,4.09,6.48
JUSTIFY,6.17,3.2,6.04
JUVENILE,3.74,3.85,4.12
KALE,5.79,3.29,5.5
KAMIKAZE,3.58,4.68,3.87
KANGAROO,6.45,4.27,5.37
KAPPA,5.65,2.79,4.59
KAPUT,3.95,4.45,4.52
KARAOKE,6.29,5.0,6.17
KARATE,6.26,4.6,6.74
KARMA,6.28,4.18,3.29
KARMIC,5.63,4.22,4.19
KAYAK,5.68,3.77,5.43
KAZOO,5.76,5.05,5.1
KEBAB,5.95,3.65,5.23
KEEL,4.64,4.15,5.74
KEEN,6.72,3.21,5.52
KEEP,6.32,3.43,5.71
KEEPER,5.89,3.81,4.83
KEEPSAKE,6.73,4.43,5.95
KEG,5.65,4.52,6.33
KELP,5.0,3.46,5.18
KENNEL,4.64,3.67,5.73
KERCHIEF,5.31,2.95,5.1
KERNEL,5.23,3.87,5.53
KEROSENE,3.86,4.0,5.34
KETCHUP,6.03,3.85,5.48
KETTLE,5.67,3.1,5.68
KEY,6.22,3.9,6.75
KEYBOARD,5.17,3.59,5.13
KEYHOLE,5.39,3.96,5.74
KEYNOTE,5.67,3.1,5.84
KEYPAD,5.65,3.0,6.0
KEYWORD,5.6,3.67,5.73
KHAKI,5.05,2.64,6.08
KIBBLE,5.5,3.7,5.46
KICK,4.55,5.1,5.1
KICKBOXING,5.33,4.45,5.18
KICKER,5.11,4.85,5.53
KICKOFF,4.95,5.0,6.11
KID,7.23,4.71,4.83
KIDDER,6.38,3.25,5.09
KIDDO,5.65,4.68,5.26
KIDNAP,2.19,5.59,2.37
KIDNAPPER,1.77,6.52,3.33
KIDNAPPING,2.05,5.36,2.47
KIDNEY,4.9,3.95,5.44
KIDS,6.48,5.69,5.13
KILL,1.81,6.81,3.61
KILLER,1.74,7.05,4.43
KILLING,1.95,5.52,4.47
KILLJOY,3.84,4.14,4.05
KILO,4.29,3.26,5.19
KILOMETER,5.52,4.1,4.81
KILT,5.12,4.74,4.81
KIMONO,5.9,3.77,5.08
KIN,5.85,3.0,5.05
KIND,7.78,3.19,7.62
KINDERGARTEN,6.62,3.09,6.17
KINDLING,5.45,4.05,5.85
KINDNESS,7.65,3.96,6.95
KINDRED,6.47,3.23,5.46
KINESIOLOGY,4.9,3.89,5.14
KINETIC,5.11,4.95,5.29
KING,6.0,4.45,5.53
KING_SNAKE,3.26,6.64,3.8
KINGDOM,6.74,4.2,6.75
KINGPIN,4.37,5.14,5.17
KINK,5.29,4.8,4.82
KINKY,5.71,5.52,5.33
KINSHIP,7.53,4.65,6.26
KIOSK,5.0,3.35,5.1
KISS,7.78,6.05,6.52
KISSER,7.33,5.85,5.38
KISSY,7.06,5.32,5.2
KIT,6.1,3.68,6.29
KITCHEN,6.17,3.52,5.89
KITE,6.9,4.2,6.24
KITTEN,7.58,3.19,6.67
KIWI,6.11,3.65,5.5
KLUTZ,3.81,4.08,4.21
KNACK,5.68,3.77,5.71
KNAPSACK,5.3,3.86,5.5
KNEE,4.7,4.25,5.38
KNEECAP,4.55,3.74,5.46
KNEEL,4.0,3.18,4.88
KNICK,5.0,3.45,4.84
KNICKERS,5.74,3.7,4.09
KNIFE,4.33,4.86,5.29
KNIGHTHOOD,6.2,4.86,5.81
KNIT,5.85,3.35,6.44
KNOB,5.21,3.05,5.35
KNOCK,5.44,3.95,5.11
KNOCKOFF,3.55,4.22,4.68
KNOCKOUT,4.95,5.91,4.11
KNOLL,5.09,3.68,5.55
KNOT,4.57,3.84,6.04
KNOW,6.82,3.24,5.78
KNOWLEDGE,7.28,4.86,7.2
KNOWLEDGEABLE,7.95,4.65,7.19
KNUCKLE,4.68,4.32,4.95
KNUCKLEHEAD,3.79,4.82,4.64
KOALA,6.65,3.73,6.62
KOOK,4.5,3.38,4.78
KOOKY,6.42,5.67,5.3
KOOLAID,6.6,4.09,5.22
KOSHER,4.68,3.06,6.12
KRAUT,4.72,3.55,4.6
KRYPTONITE,5.21,5.86,4.96
KUDOS,6.95,4.27,6.95
KUMQUAT,6.1,2.75,4.59
LAB,4.57,4.35,6.68
LABEL,4.79,3.38,5.48
LABOR,4.74,5.23,5.41
LABORATORY,5.14,4.38,4.77
LABORER,4.71,4.08,5.21
LABYRINTH,4.84,4.24,3.8
LACE,6.58,3.75,6.7
LACERATION,3.43,6.67,3.64
LACK,3.68,2.24,5.46
LACKEY,4.32,4.0,4.13
LACQUER,4.95,3.3,5.0
LACROSSE,5.29,3.7,4.84
LACTOSE,4.44,3.44,4.26
LAD,6.19,3.6,5.0
LADDER,5.32,4.09,5.56
LADDIE,5.5,4.32,5.0
LADLE,5.11,2.82,5.42
LADY,6.91,4.05,5.87
LADY_BUG,7.0,3.38,5.8
LADYBUG,6.9,3.45,5.33
LADYLIKE,5.68,3.77,5.37
LADYSHIP,6.24,3.45,5.15
LAG,3.9,4.0,4.57
LAGER,5.4,3.11,5.64
LAGOON,6.23,3.56,4.62
LAIR,5.0,5.35,5.12
LAKE,7.13,2.64,5.36
LAMB,6.3,3.32,5.72
LAME,3.2,2.74,3.45
LAMENT,4.16,3.33,3.47
LAMP,5.74,2.71,6.04
LAMPPOST,5.29,2.76,6.17
LANCE,4.7,3.6,5.17
LANCER,4.58,3.25,4.61
LAND,6.61,3.05,5.94
LANDFALL,4.95,3.45,5.04
LANDFILL,3.14,3.65,4.46
LANDING,5.09,3.62,5.62
LANDLADY,4.1,4.9,4.52
LANDLORD,3.5,3.95,4.64
LANDMARK,6.0,4.15,5.5
LANDSCAPE,7.0,3.75,5.0
LANDSCAPING,6.58,4.0,6.31
LANDSLIDE,4.76,5.89,3.81
LANE,5.29,3.95,6.95
LANGUAGE,6.38,3.7,7.37
LANKY,5.71,4.32,5.11
LANTERN,5.37,3.21,5.24
LAP,5.89,3.45,5.26
LAPDOG,6.45,3.2,4.53
LAPEL,5.74,3.17,5.21
LAPSE,4.35,3.11,3.59
LAPTOP,6.95,4.62,6.5
LARCENY,3.1,5.44,4.29
LARD,3.55,2.95,4.18
LARGE,5.77,5.35,5.05
LARK,5.19,3.52,4.96
LARYNGITIS,3.14,3.56,4.06
LARYNX,4.45,4.0,5.84
LASAGNA,7.1,5.04,5.89
LASER,5.64,5.09,5.52
LASH,4.63,4.65,5.2
LASS,5.42,4.24,5.75
LASSO,5.33,4.67,4.68
LASTING,6.67,3.33,6.33
LATCH,5.0,3.09,4.78
LATE,3.32,5.57,4.22
LATENT,4.48,3.04,4.11
LATERAL,5.43,4.11,4.68
LATEX,3.95,3.72,5.54
LATHER,5.57,4.39,6.16
LATITUDE,4.82,3.74,5.47
LATRINE,4.0,3.82,5.56
LATTE,6.45,4.79,6.4
LAUGH,7.56,6.62,7.39
LAUGHABLE,6.21,5.6,5.46
LAUGHINGSTOCK,3.77,5.16,3.52
LAUGHTER,8.05,5.39,7.02
LAUNCH,6.4,5.26,6.75
LAUNCHER,5.38,4.39,5.11
LAUNDER,5.15,3.57,5.36
LAUNDERING,5.3,3.71,3.84
LAUNDRY,5.15,4.5,6.09
LAVA,4.33,5.26,3.12
LAVATORY,5.18,4.21,5.57
LAVENDER,6.9,3.81,6.03
LAVISH,6.79,4.88,5.88
LAW,4.55,3.55,4.83
LAWFUL,6.26,3.7,5.71
LAWLESS,3.1,4.17,3.94
LAWLESSNESS,2.61,4.73,3.54
LAWMAN,4.79,4.14,4.38
LAWN,6.05,2.62,6.04
LAWNMOWER,5.48,2.92,5.74
LAWSUIT,2.84,5.39,3.2
LAWYER,3.94,3.95,3.56
LAX,4.43,3.12,5.33
LAXATIVE,3.1,4.14,3.0
LAY,6.18,3.7,6.32
LAYAWAY,5.29,3.9,5.35
LAYER,5.2,3.45,6.04
LAYMAN,5.1,3.48,5.11
LAYOUT,4.95,3.52,4.95
LAYOVER,3.37,4.1,2.63
LAZINESS,3.9,2.76,4.95
LAZY,3.05,3.05,5.79
LEAD,5.56,3.95,5.22
LEADED,4.52,3.52,4.23
LEADER,6.24,4.96,6.3
LEADERSHIP,6.0,4.76,6.84
LEAF,6.16,3.05,5.54
LEAFY,5.95,3.57,5.88
LEAGUE,5.35,4.25,6.28
LEAK,4.0,5.43,4.57
LEAKAGE,3.52,5.23,3.67
LEAKY,3.95,4.33,4.59
LEAN,6.35,3.32,5.84
LEAP,4.8,4.0,5.33
LEARN,6.85,4.8,7.0
LEARNER,6.4,4.23,7.14
LEASE,4.75,3.23,4.63
LEASH,5.25,3.0,4.32
LEATHER,5.84,3.57,5.32
LEAVE,4.68,4.48,5.47
LECHEROUS,3.33,3.79,3.65
LECTURE,4.0,3.16,4.5
LECTURER,4.42,3.48,4.88
LEDGE,5.24,4.95,4.36
LEDGER,5.33,3.24,5.87
LEECH,2.43,4.09,4.5
LEEWAY,5.26,3.88,6.11
LEFTOVER,4.59,4.27,5.54
LEFTOVERS,5.29,3.4,6.09
LEFTY,5.7,3.33,4.92
LEG,6.22,2.75,5.5
LEGACY,7.38,4.75,5.67
LEGAL,5.24,3.35,6.68
LEGEND,6.86,5.13,6.78
LEGENDARY,6.86,6.61,6.95
LEGION,5.32,4.18,4.87
LEGISLATION,3.55,4.09,3.85
LEGISLATURE,3.55,3.22,4.48
LEGIT,6.85,4.8,5.77
LEGITIMACY,5.55,4.09,6.37
LEGITIMATE,5.7,3.94,6.29
LEGO,6.14,5.05,6.3
LEGWORK,4.86,3.5,6.36
LEISURE,7.4,4.48,6.68
LEISURELY,6.92,3.6,6.58
LEMON,6.37,4.52,5.43
LEMONADE,7.05,4.63,6.0
LEND,4.95,3.22,5.5
LENGTH,5.21,3.41,5.67
LENGTHY,4.4,3.39,5.24
LENIENCY,5.8,3.78,5.71
LENIENT,5.52,3.61,5.54
LENS,5.42,2.95,5.04
LEOPARD,6.43,6.26,4.29
LEOTARD,5.1,3.95,5.0
LEPER,3.3,4.24,2.88
LEPRECHAUN,6.0,5.11,4.43
LEPROSY,2.25,4.38,3.35
LESBIAN,5.76,6.04,5.34
LESION,2.95,5.62,4.13
LESSEN,4.5,4.08,4.73
LESSON,5.57,3.8,6.79
LET,5.95,2.71,6.06
LETHAL,2.48,5.64,4.72
LETTER,5.68,3.19,5.97
LETTERHEAD,4.68,3.27,6.32
LETTERING,5.14,3.12,5.42
LETTUCE,5.84,3.64,5.44
LEUKEMIA,1.47,5.75,2.83
LEVEE,5.09,4.26,5.14
LEVEL,5.72,2.15,5.61
LEVER,4.5,2.56,6.29
LEVERAGE,4.9,4.08,5.25
LEVITATE,5.4,6.1,5.04
LEWD,3.58,4.41,4.53
LIABILITY,3.45,4.58,4.24
LIABLE,4.0,4.32,5.19
LIAISON,5.05,3.35,5.81
LIAR,2.41,6.6,4.74
LIBEL,3.68,5.0,4.78
LIBERATE,5.79,5.32,6.96
LIBERATING,7.75,5.3,7.31
LIBERATION,6.74,5.29,5.59
LIBERTY,7.2,4.5,7.04
LIBIDO,6.86,5.68,4.95
LIBRARIAN,6.38,1.75,5.0
LIBRARY,6.33,2.52,6.35
LICE,2.24,5.2,2.77
LICENSE,5.91,4.7,6.79
LICK,6.38,6.2,5.97
LICORICE,4.58,4.14,5.52
LID,5.14,2.91,6.33
LIE,2.39,4.81,4.72
LIEGE,4.6,3.32,5.11
LIEUTENANT,4.91,4.1,5.28
LIFE,6.68,5.59,5.89
LIFEBOAT,5.84,3.96,5.7
LIFEGUARD,6.35,4.64,5.73
LIFELESS,2.24,3.55,2.81
LIFELIKE,6.16,4.32,5.39
LIFELINE,5.77,4.46,5.26
LIFELONG,6.76,4.32,6.74
LIFER,3.74,4.55,4.32
LIFESAVER,7.24,4.92,6.19
LIFESTYLE,5.95,5.52,6.4
LIFETIME,7.3,4.52,5.09
LIFT,5.32,4.9,6.84
LIFTOFF,4.7,6.17,5.62
LIGAMENT,4.19,3.16,4.89
LIGATURE,4.05,4.12,4.42
LIGHT,6.55,3.52,5.89
LIGHT_YEAR,6.24,4.79,4.55
LIGHTBULB,5.55,3.07,6.67
LIGHTEN,6.21,3.14,5.45
LIGHTHEADED,4.89,3.96,3.0
LIGHTHOUSE,6.24,3.67,6.24
LIGHTING,6.52,4.92,6.18
LIGHTNESS,6.37,4.5,5.88
LIGHTNING,5.34,6.75,4.0
LIGHTWEIGHT,5.9,3.05,5.36
LIKABLE,6.83,4.23,7.35
LIKE,7.44,4.4,6.28
LIKELIHOOD,5.74,2.9,5.59
LIKELY,6.9,4.42,6.14
LIKENESS,6.6,4.27,6.43
LILAC,6.95,3.64,6.24
LILY,7.05,2.64,5.39
LIMB,4.42,2.7,6.37
LIMBER,6.45,3.41,6.07
LIMBO,4.53,4.1,4.05
LIME,6.1,3.83,6.23
LIMELIGHT,6.05,5.47,5.86
LIMESTONE,5.05,2.83,5.61
LIMEY,4.86,3.55,5.37
LIMIT,4.53,4.29,4.37
LIMITLESS,7.11,5.83,6.05
LIMO,6.14,4.15,5.88
LIMOUSINE,6.14,5.65,6.2
LIMP,2.81,3.0,4.45
LINE,4.82,3.24,4.89
LINEAGE,5.32,3.37,5.45
LINEAR,5.05,3.2,6.0
LINEBACKER,5.42,4.41,4.5
LINEN,6.0,2.95,5.73
LINER,4.79,3.71,5.57
LINEUP,4.45,4.47,5.15
LINGER,4.42,4.05,5.39
LINGERIE,6.89,5.18,5.87
LINGERING,4.95,4.48,4.41
LINGO,5.33,3.3,5.28
LINGUINI,5.45,4.09,5.53
LINGUIST,5.0,3.71,5.59
LINGUISTICS,6.37,2.76,5.87
LINK,5.9,3.15,5.91
LINOLEUM,4.47,2.77,5.54
LINT,4.3,2.44,4.75
LION,5.84,5.29,4.86
LIP,6.38,4.6,5.95
LIPOSUCTION,4.68,4.05,4.21
LIPSTICK,6.35,4.0,5.58
LIQUEUR,4.74,5.05,5.73
LIQUID,5.35,3.67,6.16
LIQUIDATE,3.95,4.36,4.36
LIQUOR,4.85,5.85,4.5
LIRA,5.6,3.1,5.08
LISP,3.9,3.78,3.5
LIST,5.89,2.55,5.61
LISTEN,6.91,3.76,5.56
LISTENER,6.1,3.83,5.67
LISTING,5.67,2.9,5.56
LISTLESS,3.84,3.33,4.67
LITER,4.37,3.65,5.16
LITERACY,7.55,3.95,6.36
LITERAL,5.84,4.35,6.32
LITERARY,5.95,3.9,6.43
LITERATURE,6.43,3.7,6.06
LITHIUM,4.75,3.5,4.79
LITIGATION,3.8,4.33,4.21
LITIGATOR,3.52,4.43,4.36
LITTER,2.58,3.8,5.7
LITTLE,5.91,4.2,5.18
LIVE,7.95,4.71,6.5
LIVELIHOOD,6.21,4.6,6.09
LIVELY,7.12,6.1,6.86
LIVEN,6.1,5.84,5.95
LIVER,4.19,3.27,4.67
LIVERY,4.59,5.11,5.37
LIVESTOCK,5.95,2.95,4.68
LIVID,3.42,5.38,4.55
LIZARD,5.43,5.5,5.86
LLAMA,5.43,4.04,5.63
LOAD,4.43,4.55,6.68
LOADER,4.48,2.96,6.33
LOAF,5.75,2.45,5.32
LOAFER,4.05,3.63,5.05
LOAN,4.19,3.3,3.77
LOATHE,2.68,5.18,4.77
LOATHING,2.42,4.5,3.95
LOATHSOME,2.89,4.45,3.57
LOBBY,4.76,4.65,5.53
LOBBYIST,3.32,3.73,4.45
LOBE,4.52,3.92,5.59
LOBOTOMY,2.45,5.32,2.0
LOBSTER,6.43,4.67,5.55
LOCAL,6.77,3.8,6.68
LOCALIZED,5.05,2.4,5.86
LOCATE,5.58,3.67,6.3
LOCATION,5.77,4.58,6.19
LOCATOR,5.14,2.83,5.45
LOCH,5.67,3.89,5.25
LOCK,4.56,3.0,4.11
LOCKER,4.79,3.35,6.35
LOCKET,5.71,3.39,5.2
LOCKSMITH,5.48,3.83,5.68
LOCKUP,3.19,4.11,4.63
LOCO,4.53,4.8,4.21
LOCOMOTIVE,5.95,5.5,5.23
LOCUST,3.16,4.24,3.45
LODE,5.24,3.45,5.03
LODGE,6.43,3.33,5.8
LOFT,5.96,3.42,5.09
LOFTY,5.65,2.95,5.85
LOG,4.94,4.29,5.7
LOGIC,6.58,3.67,6.7
LOGICAL,6.38,3.83,7.29
LOGISTICS,5.05,3.76,5.65
LOGO,5.53,3.32,5.0
LOLLIPOP,7.29,3.88,6.1
LONE,3.75,3.84,4.32
